individual	Ancestry
ID_104	EUR
ID_517	EUR
ID_617	EUR
ID_737	EUR
ID_936	EUR
ID_888	EUR
ID_20	EUR
ID_258	EUR
ID_957	EUR
ID_761	EUR
ID_189	EUR
ID_486	EUR
ID_992	EUR
ID_107	EUR
ID_287	EUR
ID_956	EUR
ID_171	EUR
ID_611	EUR
ID_15	AFR
ID_200	EUR
ID_459	EUR
ID_918	EUR
ID_326	EUR
ID_735	EUR
ID_847	EUR
ID_401	EUR
ID_82	EUR
ID_128	EUR
ID_522	EUR
ID_767	EAS
ID_25	EUR
ID_597	EAS
ID_952	EUR
ID_538	EUR
ID_465	EUR
ID_210	EUR
ID_994	EUR
ID_741	EUR
ID_886	EUR
ID_733	EUR
ID_310	EUR
ID_903	EUR
ID_766	EUR
ID_618	EUR
ID_718	EUR
ID_314	EAS;SAS
ID_121	EUR
ID_307	EUR
ID_969	EUR
ID_390	EUR
ID_666	EUR
ID_859	EUR
ID_398	EUR
ID_989	EUR
ID_715	EUR
ID_65	EUR
ID_664	EUR
ID_655	EUR
ID_305	EUR
ID_563	EUR
ID_841	EUR
ID_830	EUR
ID_185	EUR
ID_842	EUR
ID_564	EUR
ID_433	EUR
ID_674	EUR
ID_510	AFR
ID_758	EUR
ID_410	EUR
ID_441	EUR
ID_214	EUR
ID_948	AMR
ID_338	EUR
ID_562	EUR
ID_431	EUR
ID_296	EUR
ID_856	EUR
ID_139	EUR
ID_801	EUR
ID_52	EUR
ID_640	EUR
ID_262	EUR
ID_810	EUR
ID_313	EUR
ID_188	EUR
ID_949	EUR
ID_184	EUR
ID_731	EUR
ID_236	EUR
ID_668	EUR
ID_473	EUR
ID_508	EUR
ID_402	EUR
ID_334	EUR
ID_896	EUR
ID_776	EUR
ID_110	EUR
ID_224	EUR
ID_331	EUR
ID_592	EUR
ID_125	EUR
ID_207	EUR
ID_861	EUR
ID_897	EUR
ID_483	SAS
ID_639	EUR
ID_574	EUR
ID_14	EUR
ID_606	AFR
ID_163	EUR
ID_773	EUR
ID_299	EUR
ID_549	EUR
ID_462	EUR
ID_535	EUR
ID_824	EUR
ID_501	EUR
ID_876	SAS
ID_346	EUR
ID_705	EUR
ID_812	EUR
ID_159	EUR
ID_721	EUR
ID_524	EUR
ID_958	AFR
ID_73	EUR
ID_45	EUR
ID_339	EUR
ID_105	EUR
ID_616	EUR
ID_17	EUR
ID_621	SAS
ID_719	EUR
ID_834	EUR
ID_289	EUR
ID_647	EUR
ID_942	EUR
ID_690	EUR
ID_422	EUR
ID_291	EUR
ID_438	EUR
ID_316	EUR
ID_809	EUR
ID_614	EUR
ID_813	EUR
ID_637	EUR
ID_347	EUR
ID_790	EUR
ID_148	EUR
ID_356	EUR
ID_426	AFR
ID_374	EUR
ID_944	EUR
ID_575	EUR
ID_98	EUR
ID_576	EUR
ID_983	EUR
ID_445	EUR
ID_340	EUR
ID_667	EUR
ID_795	EUR
ID_723	EUR
ID_642	EUR
ID_953	EUR
ID_235	EUR
ID_12	EUR
ID_934	EUR
ID_257	AMR
ID_436	EUR
ID_976	EUR
ID_279	EUR
ID_36	EUR
ID_92	EUR
ID_878	EUR
ID_882	EUR
ID_587	EUR
ID_926	EUR
ID_166	EUR
ID_428	EUR
ID_126	EUR
ID_456	EUR
ID_183	SAS
ID_151	EUR
ID_443	EUR
ID_295	EUR
ID_130	EUR
ID_317	EUR
ID_706	EUR
ID_416	EUR
ID_917	EUR
ID_643	EUR
ID_149	EUR
ID_113	EUR
ID_904	EUR
ID_744	EUR
ID_663	EUR
ID_862	EUR
ID_330	EUR
ID_729	EUR
ID_746	EUR
ID_354	EUR
ID_380	SAS
ID_880	EUR
ID_395	EUR
ID_355	EUR
ID_997	EUR
ID_588	EUR
ID_678	EUR
ID_133	EUR
ID_87	EUR
ID_222	EUR
ID_894	EUR
ID_630	EUR
ID_41	EUR
ID_691	EUR
ID_93	EUR
ID_312	EUR
ID_216	EUR
ID_796	EUR
ID_376	EUR
ID_67	EUR
ID_853	EUR
ID_440	EUR
ID_825	EUR
ID_363	EUR
ID_778	EUR
ID_389	EUR
ID_475	EUR
ID_521	EUR
ID_124	EUR
ID_748	EUR
ID_179	EUR
ID_928	EUR
ID_891	EUR
ID_610	EUR
ID_556	EUR
ID_959	EUR
ID_208	EUR
ID_552	AFR
ID_828	EUR
ID_727	EUR
ID_755	EUR
ID_654	EUR
ID_544	EUR
ID_325	EUR
ID_469	EUR
ID_1	EUR
ID_533	EUR
ID_44	EUR
ID_490	EUR
ID_913	EUR
ID_693	EUR
ID_277	EUR
ID_633	EUR
ID_186	EUR
ID_951	EUR
ID_408	EUR
ID_600	EUR
ID_933	EUR
ID_821	EUR
ID_446	EUR
ID_272	EUR
ID_541	EUR
ID_924	EUR
ID_560	EUR
ID_155	EUR
ID_567	EUR
ID_900	EUR
ID_72	EUR
ID_908	EUR
ID_609	EUR
ID_991	EUR
ID_950	EUR
ID_359	EUR
ID_925	AFR
ID_615	EUR
ID_759	EUR
ID_177	EUR
ID_167	EUR
ID_571	EUR
ID_867	EUR
ID_332	EUR
ID_333	EUR
ID_695	EUR
ID_687	EAS
ID_974	EUR
ID_582	EUR
ID_503	EUR
ID_757	EUR
ID_290	EUR
ID_434	EUR
ID_76	EUR
ID_117	EUR
ID_745	EUR
ID_822	EUR
ID_391	EUR
ID_845	EUR
ID_309	EUR
ID_529	EUR
ID_64	EUR
ID_722	EUR
ID_153	EUR
ID_195	EUR
ID_404	EUR
ID_662	EUR
ID_683	EUR
ID_823	EUR
ID_800	EUR
ID_127	AFR
ID_935	AFR
ID_252	EUR
ID_985	EUR
ID_150	EUR
ID_484	EUR
ID_661	EUR
ID_573	EUR
ID_245	SAS
ID_362	EUR
ID_254	EUR
ID_540	EUR
ID_77	EUR
ID_694	EUR
ID_430	EUR
ID_771	EUR
ID_932	EUR
ID_835	EUR
ID_78	EUR
ID_29	EUR
ID_366	EUR
ID_414	EUR
ID_784	EUR
ID_160	EUR
ID_152	EUR
ID_212	EUR
ID_625	EUR
ID_406	EUR
ID_30	EUR
ID_986	EUR
ID_980	EUR
ID_479	EUR
ID_174	EUR
ID_679	EUR
ID_268	EUR
ID_995	EUR
ID_939	EUR
ID_4	EUR
ID_547	EUR
ID_308	EUR
ID_534	EUR
ID_793	EUR
ID_890	EUR
ID_507	EUR
ID_961	EUR
ID_669	EUR
ID_170	EUR
ID_922	EUR
ID_873	EUR
ID_341	EUR
ID_230	EUR
ID_478	AFR
ID_80	EUR
ID_192	EUR
ID_659	EUR
ID_13	EUR
ID_369	EUR
ID_246	EUR
ID_385	EUR
ID_584	EUR
ID_531	EUR
ID_435	EUR
ID_425	AFR
ID_260	AFR
ID_461	EUR
ID_393	EUR
ID_112	EUR
ID_660	EUR
ID_372	EUR
ID_39	EUR
ID_689	EUR
ID_650	EUR
ID_284	EUR
ID_61	AFR
ID_288	EUR
ID_348	EUR
ID_424	EUR
ID_665	EUR
ID_728	EUR
ID_866	EUR
ID_466	EUR
ID_162	EUR
ID_526	EUR
ID_28	EUR
ID_51	EUR
ID_603	EUR
ID_963	EUR
ID_916	EUR
ID_315	EUR
ID_799	EUR
ID_768	EUR
ID_911	EUR
ID_350	EUR
ID_775	EUR
ID_468	EUR
ID_628	EUR
ID_421	EUR
ID_243	SAS
ID_116	EUR
ID_585	EUR
ID_337	EUR
ID_467	EUR
ID_879	EUR
ID_457	EUR
ID_485	EUR
ID_286	EUR
ID_929	EUR
ID_5	EUR
ID_81	EUR
ID_709	EUR
ID_26	EUR
ID_964	EUR
ID_909	EUR
ID_946	AMR;EUR
ID_172	EUR
ID_982	EUR
ID_787	EUR
ID_543	EUR
ID_318	EUR
ID_204	EUR
ID_158	EUR
ID_442	AFR
ID_518	EUR
ID_496	EUR
ID_417	EUR
ID_743	EUR
ID_1000	EUR
ID_968	EUR
ID_300	EUR
ID_379	EUR
ID_970	EUR
ID_910	EUR
ID_455	EUR
ID_368	EUR
ID_215	EUR
ID_256	EUR
ID_95	EUR
ID_874	EUR
ID_947	EUR
ID_996	EUR
ID_474	EUR
ID_806	EUR
ID_497	EUR
ID_561	EUR
ID_931	EUR
ID_826	EUR
ID_817	EUR
ID_569	EUR
ID_269	EUR
ID_977	EUR
ID_539	EUR
ID_156	EUR
ID_423	EUR
ID_280	EUR
ID_747	EUR
ID_877	EUR
ID_264	EUR
ID_836	EUR
ID_46	EUR
ID_919	EUR
ID_196	EUR
ID_519	EUR
ID_342	EUR
ID_598	EUR
ID_871	EUR
ID_241	EUR
ID_90	EUR
ID_70	EUR
ID_429	EUR
ID_848	EUR
ID_89	EUR
ID_559	EUR
ID_470	EUR
ID_736	EUR
ID_247	EUR
ID_181	EUR
ID_205	EUR
ID_905	EUR
ID_31	EUR
ID_921	AFR
ID_40	EUR
ID_593	EUR
ID_622	EUR
ID_858	EUR
ID_975	EUR
ID_819	EUR
ID_502	EUR
ID_979	EUR
ID_261	EUR
ID_764	EUR
ID_211	EUR
ID_320	EUR
ID_511	EUR
ID_460	EUR
ID_7	EUR
ID_282	EUR
ID_323	EUR
ID_889	EUR
ID_504	EUR
ID_396	EUR
ID_595	EUR
ID_420	EUR
ID_967	SAS
ID_998	EUR
ID_782	EUR
ID_229	EUR
ID_641	EUR
ID_198	EUR
ID_613	EUR
ID_938	EUR
ID_864	EUR
ID_144	EUR
ID_32	EUR
ID_471	EUR
ID_798	EUR
ID_635	EUR
ID_914	AFR
ID_142	EUR
ID_791	EUR
ID_143	EUR
ID_649	EUR
ID_219	EUR
ID_251	EUR
ID_632	EUR
ID_673	EUR
ID_79	EUR
ID_838	EUR
ID_454	EUR
ID_525	EUR
ID_590	EUR
ID_175	EUR
ID_772	EUR
ID_802	EUR
ID_111	EUR
ID_274	EUR
ID_335	EUR
ID_273	EUR
ID_365	EUR
ID_129	EUR
ID_937	EUR
ID_68	EUR
ID_491	EUR
ID_554	EUR
ID_27	EUR
ID_3	EUR
ID_700	EUR
ID_34	EUR
ID_53	EUR
ID_725	EUR
ID_636	EUR
ID_638	EUR
ID_915	EUR
ID_634	EUR
ID_583	EUR
ID_292	EUR
ID_322	EUR
ID_818	EUR
ID_855	EUR
ID_492	EUR
ID_966	EUR
ID_739	EUR
ID_270	EUR
ID_47	EUR
ID_400	EUR
ID_49	EUR
ID_74	EUR
ID_140	EUR
ID_225	EUR
ID_294	EUR
ID_730	EUR
ID_623	EUR
ID_646	EUR
ID_344	EUR
ID_769	EUR
ID_720	EUR
ID_138	EUR
ID_940	EUR
ID_599	EUR
ID_920	EUR
ID_899	AFR
ID_202	EUR
ID_137	EAS
ID_476	SAS
ID_248	EUR
ID_586	EUR
ID_681	EUR
ID_572	SAS
ID_839	EUR
ID_352	SAS
ID_311	EUR
ID_732	EUR
ID_351	EUR
ID_58	EUR
ID_377	EUR
ID_827	EUR
ID_860	EUR
ID_626	EUR
ID_551	EUR
ID_498	AFR;AMR
ID_276	EUR
ID_35	EUR
ID_779	EUR
ID_448	EUR
ID_532	EUR
ID_704	AMR
ID_101	EUR
ID_579	EUR
ID_671	EUR
ID_447	EUR
ID_358	EUR
ID_493	EUR
ID_271	EUR
ID_763	EUR
ID_605	EUR
ID_794	EUR
ID_176	EUR
ID_548	EUR
ID_397	EUR
ID_495	EUR
ID_629	EUR
ID_62	EUR
ID_86	EUR
ID_846	EUR
ID_850	EUR
ID_978	EUR
ID_804	EUR
ID_536	EUR
ID_840	EUR
ID_648	AFR
ID_115	EUR
ID_66	EUR
ID_303	EUR
ID_239	EUR
ID_38	EUR
ID_546	EUR
ID_231	EUR
ID_708	AFR;EUR
ID_892	EUR
ID_712	EUR
ID_412	EUR
ID_762	EUR
ID_444	EUR
ID_702	EUR
ID_843	EUR
ID_419	EUR
ID_232	EUR
ID_780	EUR
ID_203	EUR
ID_697	EUR
ID_103	SAS
ID_833	EUR
ID_226	EUR
ID_297	EUR
ID_164	EUR
ID_399	EUR
ID_807	EUR
ID_752	EUR
ID_749	EUR
ID_218	SAS
ID_449	EUR
ID_227	EUR
ID_134	EUR
ID_591	EUR
ID_370	EUR
ID_981	EUR
ID_698	EUR
ID_696	EUR
ID_209	EUR
ID_770	EUR
ID_378	EUR
ID_242	EUR
ID_403	EUR
ID_321	EUR
ID_488	EUR
ID_716	EUR
ID_577	EUR
ID_854	EUR
ID_233	EUR
ID_872	EUR
ID_263	EUR
ID_601	AFR
ID_515	EUR
ID_596	EUR
ID_816	EUR
ID_675	EUR
ID_11	EUR
ID_453	EUR
ID_328	EUR
ID_699	EUR
ID_42	EUR
ID_109	EUR
ID_808	EUR
ID_901	EUR
ID_240	EUR
ID_418	EUR
ID_692	EUR
ID_146	EUR
ID_863	EUR
ID_56	EUR
ID_33	EUR
ID_865	EUR
ID_173	EUR
ID_581	EUR
ID_407	EUR
ID_887	EUR
ID_988	EAS
ID_717	EUR
ID_8	EUR
ID_849	EUR
ID_608	EUR
ID_259	AFR
ID_384	EUR
ID_972	EUR
ID_132	EUR
ID_131	EUR
ID_489	EUR
ID_670	EUR
ID_927	EUR
ID_751	EUR
ID_118	EUR
ID_753	EUR
ID_566	EUR
ID_658	EUR
ID_820	EUR
ID_10	EUR
ID_85	EUR
ID_302	EUR
ID_987	EUR
ID_415	EUR
ID_94	EUR
ID_96	EUR
ID_432	EUR
ID_509	EUR
ID_477	AFR
ID_482	EUR
ID_505	EUR
ID_685	EUR
ID_278	EUR
ID_169	EUR
ID_724	EUR
ID_971	EUR
ID_711	EUR
ID_487	EUR
ID_253	EUR
ID_37	EUR
ID_265	EUR
ID_193	EUR
ID_612	EUR
ID_16	EUR
ID_545	EUR
ID_644	EUR
ID_237	EUR
ID_255	EUR
ID_266	EUR
ID_568	EUR
ID_267	EUR
ID_84	EUR
ID_343	EUR
ID_157	EUR
ID_458	EUR
ID_550	EUR
ID_565	EUR
ID_21	EUR
ID_682	EUR
ID_713	EUR
ID_500	EUR
ID_119	EUR
ID_607	EUR
ID_463	EUR
ID_228	EUR
ID_324	EUR
ID_481	EUR
ID_88	EUR
ID_182	EUR
ID_413	EUR
ID_884	EUR
ID_293	EUR
ID_386	EUR
ID_199	EUR
ID_141	EUR
ID_651	EUR
ID_364	EUR
ID_437	EUR
ID_409	EUR
ID_513	EUR
ID_71	EUR
ID_154	EUR
ID_686	EUR
ID_329	EUR
ID_527	EUR
ID_83	EUR
ID_136	EUR
ID_558	EUR
ID_984	EUR
ID_707	EUR
ID_734	EUR
ID_99	EUR
ID_680	EUR
ID_9	EUR
ID_97	EUR
ID_102	EUR
ID_392	EUR
ID_345	EUR
ID_480	EUR
ID_656	EUR
ID_217	EUR
ID_194	EUR
ID_895	EUR
ID_542	EUR
ID_742	EUR
ID_50	EUR
ID_371	EUR
ID_387	EUR
ID_238	EUR
ID_319	EUR
ID_788	EUR
ID_91	EUR
ID_439	AFR
ID_781	EUR
ID_832	EUR
ID_373	EUR
ID_75	EUR
ID_187	EUR
ID_557	EUR
ID_523	EUR
ID_677	EUR
ID_883	EUR
ID_760	EUR
ID_451	EUR
ID_701	EUR
ID_829	EUR
ID_624	EUR
ID_516	EUR
ID_688	EUR
ID_381	EUR
ID_191	EUR
ID_6	EUR
ID_281	EUR
ID_206	EUR
ID_993	EUR
ID_190	EUR
